Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Mark West Watershed Biodiversity Project,Platform to share and communicate observations about specific species to inform us about our watershed biodiversity,Data,North America,Other,Global,2011,Ongoing,>10000 km,Multiple,Everything ,No,NA,NA,Some,Photo,Some,None,4,2,1,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/mark-west-watershed-biodiversity-project,iNaturalist,2012-05-11
Massachusetts Audubon American Kestrel Monitoring Project,"Monitoring the population of American Kestrels by reporting sightings (minimal training and effort), or being a volunteer Kestrel Box Monitor (contact them to participate)",Data,North America,NGO,North America,Unknown,Ongoing,<1000 km,"Terrestrial, freshwater, marine",American kestrel (Falco sparverius),No,Breeding data,NA,None,NA,Unknown,None,Unknown,Unknown,Unknown,NA,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.massaudubon.org/Birds_and_Birding/birdstowatch/kestrels/index.php,Scistarter,2012-02-20
Massachusetts Audubon Oriole Project,"The Oriole project is: 1 an on-going pilot project to study the distribution, populations, and breeding activities of Baltimore Orioles in our area; and 2 an opportunity for citizen scientists to contribute their observations to a database that will be used to track the health of Baltimore Oriole populations",Data,North America,NGO,North America,2005,Ongoing,<1000 km,Terrestrial,Baltimore orioles (Icterus galbula),No,NA,NA,None,NA,Some,None,4011,5,973,2009,Anyone interested,No,NA,NA,Yes,website photos and info,electronic,0,Unknown,NA,http://www.massaudubon.org/oriole/project_description.php,Scistarter,2012-02-20
Massachusetts Audubon Owls Project,"Report your discoveries on our Owl Reporter form, which also includes an interactive Google map where you can pinpoint the location where you saw and/or heard the owl These reports provide valuable information about the owl population in the state Reports of owls that breed in Massachusetts will be added to our Breeding Bird Atlas project And Snowy owl sightings will help Norman Smith with his Snowy owl research",Data,North America,NGO,North America,Unknown,Ongoing,<1000 km,Terrestrial,Owls,No,NA,NA,None,NA,None,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,No,NA,electronic,0,Unknown,NA,http://www.massaudubon.org/owls/index.php,Scistarter,2012-02-20
Massachusetts Audubon Whip-poor-will Project,"To study the distribution, populations, and breeding activities of Whip-poor-wills in Massachusetts The data we collect will be the basis for future conservation efforts to ensure that this remarkable night bird will continue to be a part of the Commonwealth's natural heritage",Data,North America,NGO,North America,2007,Ongoing,<1000 km,Terrestrial,Whip-poor-will  (Caprimulgus vociferus),No,NA,NA,None,NA,None,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.massaudubon.org/whippoorwill/,Scistarter,2012-02-20
Mastodon Matrix Project,"Open-ended, educational journey into discovering New York’s Ice Age past; experience what it is like to do scientific research; reconstruct the Pleistocene environment where this animal roamed,help to create a Pleistocene reference collection at the Paleontological Research Institution (PRI) for other researchers to further study",Both,North America,"NGO, Academic",North America,1999,Ongoing,<10 km,"Terrestrial, freshwater",Everyhing,No,NA,NA,All,Specimen collection,Unknown,All,3500,3,Unknown,Unknown,Students and volunteer groups,Yes,online web page,electronic,Yes,"Online - ""What you might find""",electronic,0,Yes,Online survey,http://www.museumoftheearth.org/research.php?page=Mastodon_Research/Mast_Matrix,NA,2012-02-07
Maumee Remedial Action Plan; Maumee Bay Watershed Project,"Brings together elected and public officials, active citizens and businesses, and students and teachers, to try to develop real solutions to improve water quality based on student-gathered data Students follow up fall testing with spring tree plantings and bank cleanups at their sites, and are encouraged to consider science careers",Both,North America,NGO,North America,1988,Unknown,Unknown,Freshwater,"Bacteria, macroinvertebrates",No,NA,NA,Unknown,NA,None,Unknown,Unknown,Unknown,1367,2002,"Anyone interested, students",Unknown,NA,Unknown,Unknown,NA,Unknown,0,Unknown,NA,"http://yosemite.epa.gov/water/volmon.nsf/e88a996d94dbe48e85256c7c007735f8/6a21d1998c5ebc2c8525671d006c443d!OpenDocument&Highlight=2,Citizen,monitoring",EPA,2012-03-28
Metropolitan Council Citizen-Assisted Monitoring Program (CAMP),"To help bridge the data gaps of area lakes, provide a more complete and improved metro database, and give local decision makers a better ideal of the area's water quality and assist them in understanding resources and making decisions on water quality issues",Data,North America,"NGO, Government",North America,1993,Unknown,<100 km,Freshwater,NA,No,chlorophyll-a concentration,NA,Unknown,NA,Some,All,Unknown,Unknown,75,2002,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,none,NA,
Miami Valley Stream Team ,"Increase public involvement in water quality issues through hands-on training of volunteers in stream monitoring and cleanup activities
Educate local communities about the relationship between land use and water quality
Provide water quality information to citizens and organizations working to protect the Great Miami Valley's rivers and streams",Education,North America,NGO,North America,2001,Ongoing,<1000 km,Freshwater,"Macroinvertebrates,  E. coli",No,Water quality proxy,NA,All,Expert present,Unknown,All,Unknown,Unknown,100,2003,Anyone interested,Yes,"manual online, expert",combo,Yes,"manual online, expert",combo,0,Unknown,NA,http://www.miamiconservancy.org/water/mv_stream.asp,EPA,2012-04-03
Michigan Cooperative Lakes Monitoring Program ,"1) Provide baseline information and document trends in water quality for individual lakes 2) Educate lake residents, users, and interested citizens in the collection of water quality data, lake ecology, and lake management practices 3) Build a constituency of citizens to practice sound lake management at the local level and build public support for lake quality protection4) Provide a cost-effective process for the DEQ to increase baseline data for lakes state-wide",Both,North America,"NGO, Government",North America,1974,Ongoing,<1000 km,Freshwater,Aquatic plants,Some,chlorophyll concentration,NA,None,NA,All,All,Unknown,Unknown,200,2002,Unknown,Yes,in-person,in-person,Yes,in-person,in-person,1,Unknown,NA,http://www.micorps.net/lakeoverview.html,EPA,
Michigan Sea Grant ,"Helps lakefront property owners, teachers, commercial enterprises and citizens who use lakes to track the range expansion of zebra mussels as they spread inland from the Great Lakes ",Both,North America,"Academic, Government",North America,1995,Ongoing,<1000 km,Freshwater,Zebra mussels,Yes,NA,NA,Some,Specimen collection,,All,Unknown,Unknown,20,2008,Anyone interested,Yes,video,electronic,Yes,video,electronic,0,Unknown,NA,NA,EPA,2012-04-05
Middlebury Area Land Trust Biodiversity Survey,"Document the location of life forms in and around Middlebury Area Land Trust land around Middlebury Vermont, including the Trail Around Middlebury and the general Middlebury area",Data,North America,Unknown,North America,2011,Ongoing,<10 km,Multiple,"Molluscs, reptiles, birds, amphibians, mammals, arachnids, insects, plants, fungi",Some,NA,NA,All,Photo,Some,None,2,1,2,2012,Anyone interested ,Yes,instuctions online,electronic,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/middlebury-area-land-trust-biodiversity-survey,iNaturalist,2012-05-11
MigrantWatch: Tracking Bird Migration Across India,"MigrantWatch needs volunteers in India to watch for one or more migratory bird species in places where the volunteers live, work, or visit regularly, and to note the dates of first and last sighting during the migration season Information collected in MigrantWatch will add to the global understanding of the effects of climate change on phenology (the timing of natural events)",Data,Asia,Government,Asia,2007,Ongoing,<10000 km,Multiple,Migrant birds,No,dates of migration,NA,None,NA,Some,Some,Unknown,Unknown,1477,2012,Anyone interested ,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.migrantwatch.in/,Scistarter,
Minnesota Frog and Toad Calling Survey,"Volunteer to participate in the MN Frog and Toad Calling Survey (MFTCS) to help monitor the number and distribution of frog & toad populations in MN Participants will be assigned to pre-selected routes and asked to conduct nighttime ""listening surveys"" on 3 evenings per year between April and July Available route locations and other information can be found on the MFTCS website Training materials including a CD of frog calls, maps, and data forms are provided Volunteers need a vehicle, good hearing, interest in frogconservation, commitment to completing assigned route, and desire to participate for multiple years",Data,North America,Government,North America,1996,Ongoing,<1000 km,"Terrestrial, freshwater","Frogs, toads",No,NA,NA,Some,"Photo, call recordings",Some,All,Unknown,Unknown,Unknown,NA,Anyone interested,Yes,website instructions,electronic,Yes,"CD of frog calls, maps",combo,0,Yes,Online quiz,http://www.dnr.state.mn.us/volunteering/frogtoad_survey/index.html,Cornell Citizen Science Central,2012-05-25
Minnesota Loon Monitoring Program,"The Minnesota Loon Monitoring Program (MLMP) is a long-term project of the Minnesota DNR Hundreds of volunteer observers annually gather information about common loon numbers on more than 600 lakes in six regions of the state Volunteers visit each lake for one morning in early July, count the number of adult & juvenile loons seen, and report these observations to the DNR for aNAlysis The MLMP provides the DNR with the ability to detect changes in the population and reproductive success of the state's common loons, and to anticipate any problems that could jeopardize the future of Minnesota's state bird",Data,North America,Government,North America,1994,Ongoing,<1000 km,Freshwater,Loons ,No,reproductive success,NA,None,NA,Some,Some,1000,18,Unknown,Unknown,Anyone interested ,Yes,website instructions,electronic,Yes,website instructions,electronic,0,Unknown,NA,http://www.dnr.state.mn.us/eco/nongame/projects/mlmp_state.html,Cornell Citizen Science Central,2012-05-25
Minnesota Odonata Survey Project,"The Minnesota Odonata Survey Project is a volunteer effort to determine the ranges and distribution of Minnesota's dragonflies and damselflies (odonates) Citizen scientists will catch and identify odonates and report back to the MOSP with their findings There are many species in Minnesota whose ranges are not known Finding a new county record is a common occurrence, and there are many new state records to be found as well!",Data,North America,NGO,North America,2008,Ongoing,<1000 km,"Terrestrial, freshwater","Dragonflies, damselflies",No,NA,NA,Some,Specimen collection,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested ,Yes,workshop and online material,combo,Yes,workshop and online material,combo,0,Unknown,NA,http://www.mndragonfly.org/,Cornell Citizen Science Central,2012-04-27
Minnesota Zebra Mussel Detection Program; Citizen Watch,Provide important help tracking their distribution in Minnesota by spending a few minutes monitoring the lake or river where you live without any specialized equipment Early detection for zebra mussels is important in protecting your property and Minnesota's water resources,Data,North America,Government,North America,1995,Unknown,Unknown,Freshwater,Zebra mussels,Yes,NA,NA,Some,Specimen collection,Some,None,Unknown,Unknown,33,2002,Anyone interested ,Yes,web page instructions,electronic,Yes,photo on website,electronic,0,Unknown,NA,http://www.dnr.state.mn.us/volunteering/zebramussel_monitoring/index.html,EPA,2012-03-28
Missouri Amphibians,A clearinghouse for all information related to Missouri's native amphibians and reptiles,Data,North America,NGO,North America,2011,Ongoing,<1000 km,"terrestrial, freshwater",Amphibians,No,NA,NA,All,Photo,All,None,4,2,1,2012,Anyone interested,Yes,web instructions,electronic,Yes,webpage photos,electronic,0,Unknown,NA,http://atlas.moherp.org/,iNaturalist,2012-05-18
Missouri Reptiles,Add your photo observations to the Missouri Reptiles project! All submitted observations with a photograph that is sufficient to verify species identity will be used in the Missouri Herpetological Atlas Project database (http://atlasmoherporg/) and eventually make their way to published county and locality maps,Data,North America,Other,North America,2011,Ongoing,<1000 km,Terrestrial,Reptiles,No,NA,NA,Some,Photo,Some,None,3,1,1,2012,Anyone interested ,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/missouri-reptiles,iNaturalist,2012-05-11
Mitten CrabWATCH,Determine the current distribution status of the mitten crab in the region,Data,North America,Government,North America,2005,Ongoing,<1000 km,"Marine, freshwater",Chinese mitten crab,Yes,NA,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested who finds website and enters data,Yes,some ID info on website,electronic,Yes,online explanation of the features of the crab,electronic,0,Unknown,NA,http://mittencrab.nisbase.org/,Scistarter,2012-01-22
Monarch Butterflies,To map citings of Monarch Butterflies through the Sierra Nevada Mountains of North America or anywhere,Data,North America,Unknown,North America,2011,Ongoing,<10000 km,Terrestrial,Monarch butterflies,No,NA,NA,All,Photo,All,None,6,2,Unknown,Unknown,Anyone interested,Yes,web instructions,electronic,Yes,webpage photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/monarch-butterflies,iNaturalist,2012-05-18
Monarch Larva Monitoring Project,"The Monarch Larva Monitoring Project enlists citizen scientists to collect long-term data on larval monarch populations and milkweed habitat

Developed by researchers at the University of Minnesota, the project aims to better understand how and why monarch populations vary in time and space, with a focus on monarch distribution and abundance during the breeding season in North America",Both,North America,Academic,North America,1998,Ongoing,<10000 km,Terrestrial,"Monarch larvae, milkweed",No,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested ,Yes,"training events, online material",combo,Yes,"Training events, online material",combo,6,Unknown,Curriculum materials,"http://www.mlmp.org/, http://www.mlmp.org/default.aspx",Scistarter,2012-02-21
Monarch Watch,"An outreach program dedicated to engaging the public in studies of monarchs and is now concentrating its efforts on monarch conservation The ""Bring Back the Monarchs"" campaign encourages people to restore milkweeds in natural landscape for monarch habitat The ""Monarch Waystation"" program encourages you to plant milkweeds as resting stations for monarchs on their migration ALSO, have opportunities to tag monarchs, and measure flight vectors",Both,North America,Academic,North America,1992,Ongoing,<10000 km,Terrestrial,Monarch butterflies,No,NA,NA,Some,tag butterflies,Some,Some,Unknown,Unknown,Unknown,Unknown,Students,Yes,webpage instructions,electronic,Yes,website photos and info,electronic,1,Unknown,NA,http://www.monarchwatch.org/,Cornell Citizen Science Central,2012-05-04
Morro Bay Volunteer Monitoring Program - Plankton Pullers: ,"Serves the dual mission of collecting critical data about the health of the watershed and bay, while educating and empowering hundreds of watershed citizens to play a part in understanding and protecting the estuary and watershed",Both,North America,NGO,North America,2002,Ongoing,<1000 km,"Freshwater, estuarine","Aquatic plants, bacteria, birds, fecal coliform, macroinvertebrates, phytoplankton

",No,NA,NA,All,"Expert, photos, and bacterial collection",Some,All,Unknown,Unknown,50,2009,Anyone interested ,,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://www.mbnep.org/Help/phytoplankton.html,NA,2012-04-13
Mount Desert Island,Record of observations of flora and fauna on the island; This can serve as an introduction to taxonomy and observation as well as a way to remember what they have seen and learn the importance of documentation; just share what wonderful things and creatures are out there and where!,Both,North America,Unknown,North America,2012,Ongoing,<100 km,Terrestrial,"Plants, fungi",No,NA,NA,All,Photo,All,None,2,1,2,2012,Anyone interested ,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/mount-desert-island,iNaturalist,2012-05-11
Mountain Birdwatch,"Mountain Birdwatch is a long-term monitoring program for Bicknell's Thrush and other montane forest birds From the Catskills to Mount Katahdin, trained volunteers conduct dawn surveys along foot trails that pass through some of the region's most awe-inspiring forests The typical time commitment is one to two mornings each June, with overnight camping recommended on remote routes Participants receive training in bird identification, experience the thrill of alpine adventure, and help guide the stewardship of vulnerable mountain habitat",Data,North America,NGO,North America,2000,Ongoing,<10000 km,Terrestrial,Birds,No,NA,NA,None,NA,Some,All,Unknown,Unknown,174,2004,Anyone interested (first year volunteers must pass quiz of bird calls),Yes,in-person training and electronic resources,combo,Yes,in-person training and electronic resources,combo,6,Yes,Online quiz of bird calls given to volunteers,http://www.vtecostudies.org/MBW/,Cornell Citizen Science Central,2012-05-25
Mountain Watch: Adopt-A-Peak,"Adopt-A-Peak volunteers agree to visit a peak or trail section in the Appalachian Mountains periodically during the growing season Volunteers will help track long-term trends in plant flowering, fall foliage, and visibility conditions on the mountain they adopt",Data,North America,NGO,North America,2004,Ongoing,Unknown,Terrestrial,Plants,No,"repeated measures of plant flowering, fall foliage",NA,Some,Photo,Unknown,All,Unknown,Unknown,Unknown,Unknown,Hikers; no children,Yes,online and/or kit,combo,Yes,online and/or kit,combo,0,Unknown,NA,http://www.outdoors.org/conservation/mountainwatch/adopt-a-peak.cfm,Scistarter,
Mountain Watch: Flower Monitoring,Hikers ers like you are needed to make observations along trails on the timing of plant flower and fruit development for inclusion in a long-term study to understand how shifts in climate trends may impact mountain flora,Data,North America,NGO,North America,2004,Ongoing,Unknown,Terrestrial,Plants,No,"All stages between flower bud
development to seed set",NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,Hikers; no children,Yes,online ,electronic,Yes,online,electronic,0,Unknown,NA,http://www.outdoors.org/conservation/mountainwatch/mtplant.cfm,Scistarter,
Museum of Discovery and Science: Sea Turtle Research,"As part of the Communicating Climate Change (C3) Citizen Science initiative, museum visitors and volunteers throughout south Florida observe and record local phenomena that are indicative of climate change Volunteers at theMuseum of Discovery and Science are working with researchers at Nova Southeastern University to measure the impact of climate change on nesting sea turtles By measuring the distance of nests from the maximum high tide line, volunteers help document the vulnerability of nests to rising sea levels Warming beaches also may affect the sex ratio of hatching turtles, so volunteers help monitor beach temperature at nest depth",Both,North America,"Academic, NGO",North America,Unknown,Ongoing,Unknown,Marine,"Loggerhead, green and leatherback sea turtles",No,"nest distance from high tide, and beach temperature nest depth (reproduction)",NA,All,Expert present,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,NA,Unknown,Unknown,NA,Unknown,0,Unknown,NA,http://www.birds.cornell.edu/citscitoolkit/projects/c3/mods-sea-turtles/,Cornell Citizen Science Central,2012-05-25
Mushroom Observer,"The purpose of this site is to record observations about mushrooms, help people identify mushrooms they aren’t familiar with, and expand the community around the scientific exploration of mushrooms (mycology)",Both,North America,Individual,Global,2006,Ongoing,>10000 km,Terrestrial,Fungi,No,NA,NA,All,"Photos are submitted, sometimes by experts",All,None,3058,5,Unknown,Unknown,Anyone interested  with access to the internet,Yes,web instructions,electronic,Yes,"Web resources, that is the purpose of the program",electronic,0,Unknown,NA,http://mushroomobserver.org/observer/intro,Scistarter,2012-03-03
Mussel Monitoring Program of Wisconsin,"Participants throughout Wisconsin are asked to collect freshwater mussel shells or to take photos of live mussels from rivers, lakes, or streams Over half of Wisconsin's 51 native mussel species (also known as clams) are listed as species in greatest need of conservation, or we need information on where they currently occur Threats like habitat alteration (dams, silt) and the presence of invasive mussels (zebra mussels) pose major threats to the existence of our native mussels ",Data,North America,Government,North America,Unknown,Ongoing,<1000 km,Freshwater,Mussels,Some,NA,NA,All,Photo or specimen,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested ,Yes,online and/or in-person,combo,Yes,online and/or in-person,combo,0,Unknown,NA,http://wiatri.com/inventory/mussels/index.cfm,Scistarter,
My Invasive,To create a form to collect Citizen science on multiple Invasive species; to collect information across jurisdictionscurrently no multi-jurisdictional database exists and it is crucial for 'early warning' that data can be compared as invasive species do not respect geographical boundaries,Data,North America,Unknown,North America,Unknown,Ongoing,<1000 km,"Terrestrial, freshwater",Invasives,Yes,NA,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,NA,Anyone interested ,No,NA,NA,Yes,links to ID sites,electronic,0,Unknown,NA,http://www.myinvasive.com/ReportSighting,Scistarter,2012-02-07
MySwan,Conduct research on the behavior and movement of swans,Data,Oceana,Academic,Oceana,Unknown,Ongoing,<10 km,Freshwater,Black swan,No,NA,NA,All,"Photosl,  tag number",Unknown,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,No,NA,NA,1,Unknown,NA,http://www.myswan.org.au/,Scistarter,2012-02-01
Nature's Calendar Survey,"Nature's Calendar is a survey conducted by thousands of volunteers who record the signs of the seasons in the United Kingdom

This could mean noting the first ladybird or swallow seen in your garden in spring, or the first blackberry in your local wood in autumn",Both,Europe,NGO,Europe,1998,Ongoing,<10000 km,Multiple,"Plants, animals, fungi",No,phenology,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested ,Yes,"online datasheet, guidelines",electronic,Yes,online materials,electronic,2,Yes,Quiz,http://www.naturescalendar.org.uk/,Scistarter,2012-02-21
Nature's Notebook,"Providing valuable observations that scientists, educators, policy makers, and resources managers are using to understand how plants and animals are responding to climate change and other environmental changes",Data,North America,NGO,North America,2009,Ongoing,<10000 km,"Terrestrial, aquatic","Plants, animals",No,Phenological information,NA,None,NA,All,All,3000,2,796,2010,Anyone interested  with access to the internet,Yes,web instructions,electronic,Yes,web resources,electronic,0,Unknown,NA,http://www.usanpn.org/about,Scistarter,2012-03-03
Neotropical Grasshoppers and Katydids,"Map and share knowledge on species IDs and distributions on neotropical grasshoppers, monkey hoppers and katydids",Data,South America,Unknown,Global,2011,Ongoing,<10000 km,Terrestrial,"Katydids, monkey hoppers, grasshoppers",No,NA,NA,All,Photo,All,None,6,2,Unknown,Unknown,Anyone interested,Yes,web instructions,electronic,Yes,webpage photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/neotropical-grasshoppers-katydids,iNaturalist,2012-05-18
Nest Box Challenge,"Build up an incredibly detailed picture of the breeding success of garden nesting birds across the UK The information collected can be used to understand more about why some species are increasing while others are declining, and to help us find out whether warmer weather and the provision of food can make a difference to the number of chicks that birds are able to raise",Data,Europe,NGO,Europe,2007,Ongoing,<10000 km,Terrestrial,Birds in nest boxes,No,NA,NA,None,NA,Some,None,Unknown,Unknown,1370,2011,Anyone interested ,Yes,online directions,electronic,Yes,online photos/facts/id videos,electronic,0,Unknown,NA,http://www.bto.org/volunteer-surveys/nbc,Scistarter,2012-03-05
Nest Record Scheme,"To produce trends in breeding performance, which help us to identify species that may be declining because of problems at the nesting stage",Data,Europe,NGO,Europe,1939,Ongoing,<10000 km,Terrestrial,Birds,No,NA,NA,None,NA,Some,None,Unknown,Unknown,500,2011,Anyone interested ,Yes,"online,  in-person",combo,Yes,online photos/facts/id videos,electronic,8,Unknown,NA,http://www.bto.org/volunteer-surveys/nrs,Scistarter,2012-03-05
NestWatch,"NestWatch helps people of all ages and backgrounds connect with nature The information that NestWatchers collect allows us to understand the impact that various threats, such as environmental change and habitat destruction, have on breeding birds Armed with this knowledge, we can take the necessary steps to help birds survive in this changing world",Both,North America,Academic,North America,1997,Ongoing,<10000 km,Terrestrial,Birds,No,Nesting,NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested ,Yes,online intructions,electronic,Yes,Online intructions,electronic,14,Unknown,NA,http://watch.birds.cornell.edu/nest/home/index,Cornell Citizen Science Central,2012-03-05
New Hampshire Turkey Observers,NH Fish and Game's winter wild turkey flock survey invites the public to help record sightings of wild turkey flocks in New Hampshire from January to mid-March each year This effort helps biologists assess the impact of winter weather on our turkey population ,Data,North America,Government,North America,2009,Ongoing,<1000 km,Terrestrial,Turkeys,No,NA,NA,None,NA,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested who sees turkeys,Yes,website describes information required,electronic,No,NA,NA,0,Unknown,NA,http://www.wildnh.com/turkeysurvey/,Scistarter,2012-02-07
New Hampshire Volunteer Marsh Monitors ,The New Hampshire Marsh Monitors volunteer program began in 2003 to evaluate the effectiveness of wetland restoration practices and techniques,Data,North America,Government,North America,2003,Ongoing,<100 km,Salt marshes,"Birds, nekton, plants",No,NA,NA,All,Expert present,Some,All,Unknown,Unknown,30,2005,Anyone interested ,Yes,online and in-person,combo,Yes,Online and in-person,combo,0,Unknown,NA,http://des.nh.gov/organization/divisions/water/wmb/coastal/restoration/ecology/volunteer.htm,EPA,2012-04-13
New Jersey Audubon Grassland Bird Survey,"To assess changes in abundance and distribution of grasslands bird populations breeding in New Jersey
    To determine how habitat and landscape characteristics influence grassland birds so that we can implement sound management strategies
",Data,North America,"NGO, Government",North America,2005,Ongoing,<1000 km,Terrestrial,Grassland birds,No,NA,NA,None,NA,Some,All,Unknown,Unknown,50,1,Anyone interested,Yes,"website, printouts, training",combo,Unknown,Unknown,Unknown,0,Unknown,NA,http://www.njaudubon.org/SectionCitizenScience/GrasslandBirdSurveys.aspx,Scistarter,2012-02-13
New Jersey Audubon Heron Survey,Focusing on-site and habitat use by egrets later in the season (July 15- September 30)  This will allow us to explore post-breeding movements in the NJ Meadowlands and Raritan Bay,Data,North America,"NGO, Government",North America,2008,2011,<1000 km,"Shoreline, terrestrial, marine, estuarine",Egrets and herons,No,NA,NA,None,NA,Some,All,93,3,20,2010,Anyone interested,Yes,"website, printouts, training",combo,Unknown,in-person presumably,Unknown,0,Unknown,NA,http://www.njaudubon.org/SectionCitizenScience/HeronSurveys.aspx,NA,2012-02-13
New Jersey Audubon Shorebird Survey,Aimed at assessing status and changes in populations of shorebirds to better manage and conserve stopover areas,Data,North America,"NGO, Government",North America,2004,Ongoing,<1000 km,"Shoreline, terrestrial, marine",Shorebirds,No,NA,NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,"Anyone interested, expected to be experienced birders",Yes,"website, printouts, training",combo,Unknown,Unknown,Unknown,0,Unknown,NA,http://www.njaudubon.org/SectionCitizenScience/ShorebirdSurveys.aspx,Scistarter,2012-02-13
New York Horseshoe Crab Monitoring Network,Promote conservation of horseshoe crabs in NY State Help collect data around full & new moon evenings May to July,Data,North America,Other,North America,2009,Ongoing,<1000 km,Marine,Horseshoe crabs,No,NA,NA,Some,Expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"website, pamphlet, in-person, workshop",combo,Unknown,in-person,in-person,1,Unknown,NA,http://Scistarter.com/project/514-New%20York%20Horseshoe%20Crab%20Monitoring%20Network,Scistarter,2012-01-16
Nisqually BMA Bioblitz,"The South Sound Salmon Enhancement Group along with the Nisqually Indian Tribe, are working to restore the Ohop Valley Creek back to its historical meandering pathway This long-term project will ultimately encompass the creek's path through the entire Valley down to the Nisqually River The original intent of the project was to restore Salmon habitat, but has grown into an ecosystem restoration project that will provide significant benefits to a large variety of wildlife",Both,North America,"Government, NGO, Tribe",North America,2009,Ongoing,<10 km,Terrestrial,"Plants, invertebrates, mammals, butterflies, amphibians and reptiles",No,NA,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://naturemappingfoundation.org/natmap/centers/nwtrek/ohop.html,Cornell Citizen Science Central,2012-04-26
North American Amphibian Monitoring Program,To help states and USGS to assess frog and toad population trends,Data,North America,Government,North America,1997,Ongoing,<10000 km,"Terrestrial, freshwater","Frogs, toads",No,NA,NA,None,NA,All,All,500,3,Unknown,Unknown,Anyone interested,Yes,"online instructions, plus in-person training required in some states",combo,Yes,online and some states require in-person training ,combo,6,Yes,Online quiz of frog calls required: http://www.pwrc.usgs.gov/frogquiz/,http://www.pwrc.usgs.gov/naamp/,Scistarter,2012-03-05
North American Bird Phenology Program,"An historic program where volunteers collected data on migratory patterns of birds, now the program uses volunteers to digitize the database of information",Data,North America,Government,North America,1880,1970,<10000 km,Multiple,Birds,No,arrival and departure dates of migratory birds,NA,None,NA,All,None,Unknown,Unknown,3000,1890,Unknown,Unknown,NA,NA,Unknown,NA,NA,25,Unknown,NA,http://www.pwrc.usgs.gov/bpp/BPP_USA-NPN2.cfm,Cornell Citizen Science Central,2012-05-25
"North and South Rivers Watershed Association, Inc. ","Protect the watershed and promote responsible growth by working in partnerships to preserve open space, scenic vistas and sensitive natural resources;
Educate and encourage stewardship of the watershed through public education, outreach and recreation programs; and
Restore the water quality of the rivers by identifying and correcting adverse impacts",Both,North America,NGO,North America,1991,Ongoing,<100 km,"Freshwater, estuarine","Macroinvertebrates, herring",Yes,NA,NA,Some,Specimen collection,Some,Some,Unknown,Unknown,8,2002,Anyone interested,Yes,online in in-person,combo,Yes,online in in-person,combo,0,Unknown,NA,http://www.nsrwa.org/Page.65.html,EPA,2012-04-05
North Carolina Sea Turtle Project,The North Carolina Sea Turtle Project trains volunteers to monitor sea turtle activity along the entire coast of North Carolina All the data collected by the project are organized and disseminated to the state and federal agencies that use the information to make management decisions,Data,North America,NGO,North America,2008,Ongoing,<1000 km,Marine,Sea turtles,No,Length of turtle shell,NA,All,Expert present,Unknown,Some,Unknown,Unknown,Unknown,Unknown,No children,Yes,Unknown,in-person,Yes,in persons: The North Carolina Sea Turtle Project trains volunteers to monitor sea turtle activity along the entire coast of North Carolina.,in-person,,Unknown,NA,http://www.seaturtle.org/groups/ncwrc/,Scistarter,
